,url,desc,full_desc,requirements,popu_tags,game_name
59799,https://store.steampowered.com/bundle/13210/Pixel_Puzzles_Ultimate_Jigsaw_Bundle_Halloween/?snr=1_7_7_230_150_2389,-,,-,-,Pixel_Puzzles_Ultimate_Jigsaw_Bundle_Halloween
59800,https://store.steampowered.com/bundle/13241/_Pixel_Puzzles_Ultimate_Jigsaw_Bundle_Summer/?snr=1_7_7_230_150_2389,-,,-,-,_Pixel_Puzzles_Ultimate_Jigsaw_Bundle_Summer
59803,https://store.steampowered.com/bundle/11155/Lost__Soundtrack/?snr=1_7_7_230_150_2390,-,,-,-,Lost__Soundtrack
59813,https://store.steampowered.com/bundle/11476/AstroGenesis__Boss_Rush_Bundle/?snr=1_7_7_230_150_2390,-,,-,-,AstroGenesis__Boss_Rush_Bundle
59814,https://store.steampowered.com/bundle/11507/Bepuzzled_Ultimate_Jigsaw_Puzzle_Mega_Bundle/?snr=1_7_7_230_150_2390,-,,-,-,Bepuzzled_Ultimate_Jigsaw_Puzzle_Mega_Bundle
59833,https://store.steampowered.com/bundle/8360/Bajo_Games_Complete/?snr=1_7_7_230_150_2391,-,,-,-,Bajo_Games_Complete
59835,https://store.steampowered.com/bundle/8539/Rainbow_mercenary_and_Starter_Pack/?snr=1_7_7_230_150_2391,-,,-,-,Rainbow_mercenary_and_Starter_Pack
59836,https://store.steampowered.com/bundle/8540/Gravity_Jump__OST/?snr=1_7_7_230_150_2391,-,,-,-,Gravity_Jump__OST
59838,https://store.steampowered.com/bundle/8562/Repeat_the_image_Animals__OST/?snr=1_7_7_230_150_2391,-,,-,-,Repeat_the_image_Animals__OST
59839,https://store.steampowered.com/bundle/8565/_The_famous_diver__OST/?snr=1_7_7_230_150_2391,-,,-,-,_The_famous_diver__OST
59843,https://store.steampowered.com/bundle/8753/TS_Marketplace_GP402_Mini_Scenario_Pack_Twin_Pack/?snr=1_7_7_230_150_2391,-,,-,-,TS_Marketplace_GP402_Mini_Scenario_Pack_Twin_Pack
